09:50:28.464 [main] INFO  neo4j.neostore - C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db.index.keys non clean shutdown detected
09:50:28.464 [main] INFO  neo4j.neostore - [C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db.index.keys] brickCount=0 brickSize=1026b mappedMem=1048576b (storeSize=38b)
09:50:28.479 [main] INFO  neo4j.neostore - C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db.index non clean shutdown detected
09:50:28.479 [main] INFO  neo4j.neostore - [C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db.index] brickCount=0 brickSize=10485b mappedMem=1048576b (storeSize=0b)
09:50:28.495 [main] INFO  neo4j.neostore - C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db.arrays non clean shutdown detected
09:50:28.495 [main] INFO  neo4j.neostore - [C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db.arrays] brickCount=0 brickSize=62848b mappedMem=62914560b (storeSize=128b)
09:50:28.511 [main] INFO  neo4j.neostore - C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db non clean shutdown detected
09:50:28.511 [main] INFO  neo4j.neostore - [C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.propertystore.db] brickCount=0 brickSize=1132461b mappedMem=113246208b (storeSize=0b)
09:50:28.511 [main] INFO  neo4j.neostore - C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.relationshipstore.db non clean shutdown detected
09:50:28.511 [main] INFO  neo4j.neostore - [C:\Users\shengra\git\ac-pom2\ac-hpsc-pom\ac-hpsc-main\data\chain\neostore.relationshipstore.db] brickCount=0 brickSize=1394580b mappedMem=139460608b (storeSize=0b)
